"Job_Title","Company_Name","City_State","Company_Rating","salary_Range","Post_Date","sal_hourly","min_salary","max_salary","avg_salary","job_state","pd_hourly","job_simp","seniority"
"Research Scientist II","Seattle Children's","Seattle, WA",3.7,"$31K-$73K (Glassdoor Est.)","5d",0,31,73,52,"WA",120,"na","na"
"Data Engineer II (L5) - Business Data Technologies","Amazon.com Services LLC","Seattle, WA",3.9,"$89K-$136K (Glassdoor Est.)","12d",0,89,136,112.5,"WA",288,"data engineer","na"
"Data Engineer - SCAR team, supporting Global Specialty Fulfillment","Amazon.com Services LLC","Seattle, WA",3.9,"$83K-$128K (Glassdoor Est.)","12d",0,83,128,105.5,"WA",288,"data engineer","na"
"Principal Machine Learning Engineer, Intelligent Insights & Actions","Outreach","Seattle, WA",3.9,"$146K-$242K (Glassdoor Est.)","2d",0,146,242,194,"WA",48,"mle","senior"
"Sr. Manager, Data Science - Conversational AI","Expedia.com","Seattle, WA",3.8,"$150K-$235K (Glassdoor Est.)","7d",0,150,235,192.5,"WA",168,"manager","senior"
"Freshers-Data Analyst","Pactera Technologies","Kirkland, WA",4.5,"$42K-$76K (Glassdoor Est.)","5d",0,42,76,59,"WA",120,"analyst","na"
"Data Engineer","INTL FCStone","Seattle, WA",3.6,"$71K-$132K (Glassdoor Est.)","12d",0,71,132,101.5,"WA",288,"data engineer","na"
"Data Science Group Leader","Alta Planning + Design","Seattle, WA",3,"$96K-$153K (Glassdoor Est.)","24h",0,96,153,124.5,"WA",24,"na","senior"
"Data Engineer II, AWS Sustainability","Amazon","Seattle, WA",3.9,"$80K-$126K (Glassdoor Est.)","6d",0,80,126,103,"WA",144,"data engineer","na"
"Sr. Business Data Analyst, WW Enablement","Amazon","Seattle, WA",3.9,"$80K-$141K (Glassdoor Est.)","6d",0,80,141,110.5,"WA",144,"analyst","senior"
"RESEARCH SCIENTIST/ENGINEER 1","UW Medicine","Seattle, WA",3.5,"$26K-$61K (Glassdoor Est.)","24d",0,26,61,43.5,"WA",576,"na","na"
"Data Engineer","Logic20/20","Seattle, WA",3.5,"$68K-$123K (Glassdoor Est.)","25d",0,68,123,95.5,"WA",600,"data engineer","na"
"Research Scientist","Convoy","Seattle, WA",3.1,"$66K-$129K (Glassdoor Est.)","13d",0,66,129,97.5,"WA",312,"na","na"
"Director, Catalog Data Science (Catalog)","Coupang","Seattle, WA",3.6,"$96K-$152K (Glassdoor Est.)","4d",0,96,152,124,"WA",96,"director","na"
"Data Engineer Marketing - Prospect/Customer Database","Avalara","Seattle, WA",4.1,"$72K-$130K (Glassdoor Est.)","4d",0,72,130,101,"WA",96,"data engineer","na"
